item_title,price,item_url,seller,seller_profile_link,seller_feedback_and_rating_link,condition,brand,color,quantity_left,description,extra_item_description_link
Flash Furniture Contemporary Leather Recliner and Ottoman With Leather Wrapped,235.72,https://www.ebay.com/itm/174430810718,myofficeinnovations,https://www.ebay.com/usr/myofficeinnovations,https://www.ebay.com/fdbk/feedback_profile/myofficeinnovations,New,Flash Furniture,Cream,12,Condition: New | Brand: Flash Furniture | Color: Cream | Department: See Description | Frame Color: Cream | Item Height: 37.50 IN | Item Length: 28.99 IN | Item Width: 27.25 IN | Manufacturer: BELNICK INC | Manufacturer Part Number: 1179966 BT7862CREAM | Manufacturer Warranty: No Applicable Warranty | Frame Material: Leather | Model: 1179966 BT7862CREAM | Pattern: Solid | Seat Depth: See Description | Seating Capacity: See Description | Size: See Description | Style: See Description | Type: Recliners | Upholstery Fabric: Leather | UPC: 847254015738 | ISBN: Does not apply | EAN: 0847254015738 | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=174430810718
Faux Leather Recliner Chair Swiveling with Ottoman Footrest,332.99,https://www.ebay.com/itm/294694071377,mhcorp,https://www.ebay.com/usr/mhcorp,https://www.ebay.com/fdbk/feedback_profile/mhcorp,New,HOMCOM,,,Condition: New | Brand: HOMCOM | Type: Recliner and Ottoman | Model: X-839-200 | Item Dimensions: 30"x33"x40.5" | Material: Linen Steel Sponge | Weight Capacity: 286lb | Item Length: 30in | Item Width: 33in | Item Height: 40.5in | Colormap: grey | Prop_Name: wood_dust | Prop Type: chemical | Product: Home&amp;Chair | MPN: USX-839-2000141 | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=294694071377
Copper Grove Plush Push-Back Recliner Chair,225.98,https://www.ebay.com/itm/403300054160,overstock,https://www.ebay.com/usr/overstock,https://www.ebay.com/fdbk/feedback_profile/overstock,New,Copper Grove,,,Condition: New | Brand: Copper Grove | Item Height: 26.0 | Item Length: Not Available | Item Width: Not Available | Type: Other | Style: Glam Traditional | Features: Not Applicable | Department: Furniture | Model: Copper Grove | MPN: Does not Apply | Maximum Height: 26.0 | size: Standard | Upholstery Fabric: Not Available | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=403300054160
PU Leather Swivel Recliner Lounge Chair w/ Footrest &amp; 10 Point Massage,799.95,https://www.ebay.com/itm/353784573438,mhcorp,https://www.ebay.com/usr/mhcorp,https://www.ebay.com/fdbk/feedback_profile/mhcorp,New,HOMCOM,,,Condition: New | Type: Massage Recliner with Ottoman | Model: X-700-008-008-02 | Item Dimensions: 30.25" x 28.75" x 37.5" | Material: PU leather Metal | Weight Capacity: 330lb | Item Length: 30.25in | Item Width: 28.75in | Item Height: 37.5in | Colormap: black | Prop_Name: toluene_diisocyanate | Prop Type: chemical | Power: Electric | Voltage: (input): 220V (output): 12V | Product: Home&amp;Chair | Brand: HOMCOM | MPN: US700-085V81BK0141 | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=353784573438
Overstuffed PU Leather Relaxing Therapeutic Massage Recliner W/ Targeted Relief,379.99,https://www.ebay.com/itm/293461774064,mhcorp,https://www.ebay.com/usr/mhcorp,https://www.ebay.com/fdbk/feedback_profile/mhcorp,New,HOMCOM,,,Condition: New | Brand: HOMCOM | Item Height: Not Available | Item Length: Not Available | Item Width: Not Available | Type: Massage Recliner | Material: Faux Leather Plastic Metal Foam Sponge | MPN: USX-X-700-0880141 | Weight Capacity: 375 lbs | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=293461774064
Electric Remote Powered Elderly Lift Recliner,1741.23,https://www.ebay.com/itm/203843003271,emmaoliver,https://www.ebay.com/usr/emmaoliver,https://www.ebay.com/fdbk/feedback_profile/emmaoliver,New,EMMA+OLIVER,,,Condition: New | Compatible Brand: Does Not Apply | Compatible Model: Does Not Apply | Material: FoamLeather/Faux LeatherMetalPine WoodPlywood | Seat Dimensions: 18"W x 21"D x 21"H | Item Length: 67 in | Additional Parts Required: No | Overall Dimensions: 33"W x 32" - 67"D x 44" - 57"H | Brand: EMMA+OLIVER | Type: Recliner Chair | Weight Capacity: 350 lbs | Seat Depth: 67 in | Item Height: 57 in | Style: Contemporary | Features: RecliningRemote Control IncludedPadded Seat | Country/Region of Manufacture: China | Room: Living RoomHome Office/StudyBedroom | Item Width: 33 in | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=203843003271
PU Leather Recliner Chair with Wrapped Base and Matching Ottoman Footrest,239.99,https://www.ebay.com/itm/373870531063,mhcorp,https://www.ebay.com/usr/mhcorp,https://www.ebay.com/fdbk/feedback_profile/mhcorp,New,HOMCOM,,,Condition: New | Brand: HOMCOM | Type: Recliner and Ottoman | Model: X-839-199 | Item Dimensions: 31.5" x 34.75" x 44.5" | Material: Steel PU Sponge | Weight Capacity: 285lb | Item Length: 31.5in | Item Width: 34.75in | Item Height: 44.5in | Colormap: brown | Prop_Name: wood_dust | Prop Type: chemical | Product: Home&amp;Chair | MPN: USX-839-1990141 | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=373870531063
Amish Transitional Recliner Chair Solid Wood Upholstered Leather Lexington,854.66,https://www.ebay.com/itm/125267619407,2010surreystreet,https://www.ebay.com/usr/2010surreystreet,https://www.ebay.com/fdbk/feedback_profile/2010surreystreet,New,New Hickory Wholesale,Choice,1,Condition: New | Model: Lexington | Item Height: 41 | Item Width: 32.5 | Material: Solid Wood | Type: Recliner | Color: Choice | Upholstery Fabric: Leather | MPN: 690LR | Number of Items in Set: 1 | Brand: New Hickory Wholesale | Style: Transitional | Features: Reclinable | Item Length: 38 | Room: Living Room | Set Includes: Chair | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=125267619407
Brown Vintage LeatherSoft Recliner and Curved Ottoman with Mahogany Wood Base,473.99,https://www.ebay.com/itm/353036678405,zmrfurniture,https://www.ebay.com/usr/zmrfurniture,https://www.ebay.com/fdbk/feedback_profile/zmrfurniture,New,Flash Furniture,,20,Condition: New | Material: Eucalyptus WoodFoamLeather/Faux Leather | Compatible Brand: Does Not Apply | Overall Dimensions: 33"W x 34" - 44.500"D x 41.25"H | Seat Dimensions: 21"W x 22"D x 18"H | Weight Capacity: 250 lbs | Room: Living RoomHome Office/StudyBedroom | Type: Recliner Chair | Style: Contemporary | Item Height: 41.25 in | Item Length: 44.500 in | Item Width: 33 in | Features: RecliningPadded Seat | Country/Region of Manufacture: China | Additional Parts Required: No | Brand: Flash Furniture | Compatible Model: Does Not Apply | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=353036678405
Beige LeatherSoft Multi-Position Recliner &amp;Ottoman w/Swivel Mahogany Wood Base,428.90,https://www.ebay.com/itm/353444187089,zmrfurniture,https://www.ebay.com/usr/zmrfurniture,https://www.ebay.com/fdbk/feedback_profile/zmrfurniture,New,Flash Furniture,,20,Condition: New | Material: Eucalyptus WoodFoamLeather/Faux Leather | Compatible Brand: Does Not Apply | Overall Dimensions: 32.75"W x 32" - 40"D x 41"H | Seat Dimensions: 20.5"W x 21"D x 17"H | Weight Capacity: 250 lbs | Room: Living RoomHome Office/StudyBedroom | Type: Recliner Chair | Style: Contemporary | Item Height: 41 in | Item Length: 40 in | Item Width: 32.75 in | Features: RecliningPadded Seat | Country/Region of Manufacture: China | Additional Parts Required: No | Brand: Flash Furniture | Compatible Model: Does Not Apply | ,https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescv4&item=353444187089
